# Game of Life Presets
# Format: Each preset starts with [PRESET_NAME] followed by coordinates
# Coordinates are in format: x,y (one per line)
# Empty lines and lines starting with # are ignored
# Mom I made a programming language of my own! (yeah i wish)

[glider]
0,1
1,2
2,0
2,1
2,2

[pulsar]
0,0
1,0
2,0
-2,2
-2,3
-2,4
0,5
1,5
2,5
3,2
3,3
3,4
5,2
5,3
5,4
6,0
7,0
8,0
6,5
7,5
8,5
10,2
10,3
10,4
0,7
1,7
2,7
-2,8
-2,9
-2,10
0,12
1,12
2,12
3,8
3,9
3,10
5,8
5,9
5,10
10,8
10,9
10,10
6,7
7,7
8,7
6,12
7,12
8,12

[beacon]
0,0
1,0
0,1
1,1
2,2
3,2
2,3
3,3

[popcorn]
0,0
1,0
0,1
-1,1
0,2

[beehive]
1,0
2,0
0,1
3,1
1,2
2,2

[gun]
# block
0,0
1,0
0,-1
1,-1
# bomb
10,0
10,-1
10,1
11,2
12,3
13,3
15,2
16,1
16,0
16,-1
17,0
15,-2
13,-3
12,-3
11,-2
14,0
# bracket
20,-1
20,-2
20,-3
21,-1
21,-2
21,-3
22,-4
22,0
24,0
24,1
24,-4
24,-5
# block
34,-2
34,-3
35,-2
35,-3

[netmaker]
0,2
0,3
0,4
0,10
0,11
0,12
1,2
1,5
1,9
1,12
2,2
2,12
3,2
3,12
4,3
4,5
4,9
4,11
6,6
6,7
6,8
7,5
7,9
8,5
8,9
9,4
9,10
11,5
11,9
12,6
12,7
12,8
13,10
14,9
14,10
14,11
15,9
15,11
15,12
16,12
16,13
17,12
18,12
18,13
19,1
19,10
19,12
19,14
19,15
20,0
20,6
20,9
20,10
20,12
20,14
20,16
20,18
20,23
20,24
21,0
21,6
21,7
21,8
21,10
21,12
21,14
21,16
21,18
21,21
21,22
21,24
21,25
22,0
22,1
22,2
22,3
22,4
22,6
22,8
22,10
22,12
22,14
22,16
22,18
22,19
22,21
22,22
22,23
22,24
23,8
23,10
23,12
23,14
23,16
23,21
23,22
23,23
24,8
24,10
24,12
24,14
24,16
24,17
25,8
25,10
25,12
25,14
25,16
25,21
25,22
25,23
26,0
26,1
26,2
26,3
26,4
26,6
26,8
26,10
26,12
26,14
26,16
26,18
26,19
26,21
26,22
26,23
26,24
27,0
27,6
27,7
27,8
27,10
27,12
27,14
27,16
27,18
27,21
27,22
27,24
27,25
28,0
28,6
28,9
28,10
28,12
28,14
28,16
28,18
28,23
28,24
29,1
29,10
29,12
29,14
29,15
30,12
30,13
31,12
32,12
32,13
33,9
33,11
33,12
34,9
34,10
34,11
35,10
36,6
36,7
36,8
37,5
37,9
39,4
39,10
40,5
40,9
41,5
41,9
42,6
42,7
42,8
44,3
44,5
44,9
44,11
45,2
45,12
46,2
46,12
47,2
47,5
47,9
47,12
48,2
48,3
48,4
48,10
48,11
48,12

[bird]
0,0
0,1
0,2
0,3
0,4
0,5
1,0
1,6
2,0
3,1
3,6
4,3
4,4
